Department,Gender,CGPA,DSA,Projects,Placement
Comps,Male,>9.5,Yes,Yes,Yes
Comps,Female,>=8,Yes,Yes,Yes
Comps,Male,>=8,Yes,No,Yes
Comps,Female,>=8,Yes,Yes,Yes
AIDS,Male,>=8,Yes,Yes,Yes
AIDS,Female,>=8,Yes,No,Yes
AIDS,Male,<8,No,Yes,No
AIDS,Female,<8,Yes,Yes,Yes
IT,Male,>=8,Yes,Yes,Yes
IT,Female,<8,Yes,Yes,Yes
IT,Male,<8,No,Yes,No
IT,Female,>=8,Yes,Yes,Yes
EXTC,Male,>=8,Yes,Yes,Yes
EXTC,Female,<8,No,No,No
EXTC,Male,<8,Yes,Yes,No
EXTC,Female,>=8,Yes,Yes,Yes
Comps,Male,>=8,Yes,Yes,Yes
Comps,Female,>=8,Yes,Yes,Yes
Comps,Male,>=8,No,Yes,Yes
AIDS,Female,>9.5,Yes,Yes,Yes
AIDS,Male,>=8,Yes,Yes,Yes
AIDS,Female,<8,No,Yes,No
IT,Male,>=8,Yes,Yes,Yes
IT,Female,<8,Yes,No,No
IT,Male,<8,No,Yes,No
EXTC,Female,>=8,Yes,Yes,Yes
EXTC,Male,<8,No,Yes,No
EXTC,Female,<8,Yes,No,No
Comps,Male,>9.5,Yes,Yes,Yes
Comps,Female,>=8,Yes,Yes,Yes
Comps,Male,>=8,Yes,No,Yes
AIDS,Female,>9.5,Yes,Yes,Yes
AIDS,Male,>=8,Yes,Yes,Yes
AIDS,Female,<8,No,Yes,No
IT,Male,>=8,Yes,Yes,Yes
IT,Female,<8,Yes,Yes,Yes
IT,Male,<8,No,Yes,No
EXTC,Female,>=8,Yes,Yes,Yes
EXTC,Male,<8,No,Yes,No
EXTC,Female,<8,Yes,No,No
Comps,Male,>9.5,Yes,Yes,Yes
Comps,Female,>=8,Yes,Yes,Yes
Comps,Male,>=8,Yes,No,Yes
AIDS,Female,>9.5,Yes,Yes,Yes
AIDS,Male,>=8,Yes,Yes,Yes
AIDS,Female,<8,No,Yes,No
IT,Male,>=8,Yes,Yes,Yes
IT,Female,<8,Yes,Yes,Yes
IT,Male,<8,No,Yes,No
EXTC,Female,>=8,Yes,Yes,Yes
EXTC,Male,<8,No,Yes,No
EXTC,Female,<8,Yes,No,No
Comps,Male,>9.5,Yes,Yes,Yes
Comps,Female,>=8,Yes,Yes,Yes
Comps,Male,>=8,Yes,No,Yes
AIDS,Female,>9.5,Yes,Yes,Yes
AIDS,Male,>=8,Yes,Yes,Yes
AIDS,Female,<8,No,Yes,No
IT,Male,>=8,Yes,Yes,Yes
IT,Female,<8,Yes,Yes,Yes
Comps,Male,>=8,Yes,Yes,Yes
Comps,Female,>=8,Yes,No,Yes
Comps,Male,<8,No,Yes,No
Comps,Female,>9.5,Yes,Yes,Yes
AIDS,Male,>=8,Yes,Yes,Yes
AIDS,Female,<8,No,Yes,No
AIDS,Male,<8,Yes,Yes,Yes
AIDS,Female,>=8,Yes,Yes,Yes
IT,Male,>=8,Yes,No,Yes
IT,Female,>9.5,Yes,Yes,Yes
IT,Male,<8,No,Yes,No
IT,Female,>=8,Yes,Yes,Yes
EXTC,Male,<8,Yes,Yes,Yes
EXTC,Female,>=8,Yes,No,Yes
EXTC,Male,>9.5,Yes,Yes,Yes
EXTC,Female,<8,No,Yes,No
Comps,Male,>=8,Yes,Yes,Yes
Comps,Female,<8,Yes,Yes,Yes
Comps,Male,>9.5,Yes,No,Yes
AIDS,Female,>=8,Yes,Yes,Yes
AIDS,Male,>=8,No,Yes,Yes
AIDS,Female,<8,No,Yes,No
IT,Male,>=8,Yes,Yes,Yes
IT,Female,<8,Yes,Yes,Yes
IT,Male,>9.5,Yes,Yes,Yes
EXTC,Female,<8,No,Yes,No
EXTC,Male,>=8,Yes,Yes,Yes
EXTC,Female,<8,Yes,Yes,Yes
Comps,Male,>=8,Yes,Yes,Yes
Comps,Female,>=8,Yes,No,Yes
Comps,Male,>9.5,Yes,Yes,Yes
AIDS,Female,<8,Yes,No,No
AIDS,Male,>=8,Yes,Yes,Yes
AIDS,Female,>=8,No,Yes,Yes
IT,Male,<8,Yes,Yes,Yes
IT,Female,<8,No,Yes,No
IT,Male,>=8,Yes,Yes,Yes
EXTC,Female,>=8,Yes,No,Yes
EXTC,Male,>9.5,Yes,Yes,Yes
EXTC,Female,<8,Yes,Yes,Yes
Comps,Male,>=8,No,Yes,Yes
Comps,Female,>9.5,Yes,Yes,Yes
Comps,Male,<8,Yes,No,No
AIDS,Female,<8,No,Yes,No
AIDS,Male,>9.5,Yes,Yes,Yes
AIDS,Female,>=8,Yes,Yes,Yes
IT,Male,<8,No,Yes,No
IT,Female,<8,Yes,Yes,Yes
IT,Male,>=8,Yes,Yes,Yes
EXTC,Female,<8,Yes,No,No
EXTC,Male,>=8,Yes,Yes,Yes
EXTC,Female,>=8,Yes,Yes,Yes
Comps,Male,>9.5,Yes,Yes,Yes
Comps,Female,<8,No,Yes,No
Comps,Male,>=8,Yes,Yes,Yes
AIDS,Female,<8,Yes,No,No
AIDS,Male,>=8,Yes,Yes,Yes
AIDS,Female,>9.5,Yes,Yes,Yes
IT,Male,<8,No,Yes,No
IT,Female,>=8,Yes,Yes,Yes
IT,Male,>=8,Yes,Yes,Yes
EXTC,Female,>=8,Yes,No,Yes
EXTC,Male,<8,No,Yes,No
