Calculus,Artificial Intelligence,Data Structures,Software Engineering, Machine Learning,Operating Systems,Databases, Algorithms,Computer Networks, Linear Algebra,Discrete Mathematics,Web Development,Cybersecurity,Object-Oriented Programming,Digital Signal Processing, Data Science,Compiler Design,Quantum Computing, Cloud Computing, Natural Language Processing, Embedded Systems,Human-Computer Interaction
1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0
0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1
1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0
0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0
0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1
1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1
1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1
0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1
1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0
1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0
0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1
0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1
1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1
1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0
0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1
0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0
1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0
1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0
1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0
1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1
0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0
1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0
0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1
1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0
1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1
0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0
0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
